version,distribution,run,seed,collected_resources
Baseline CPFA,powerlaw,29,431514,138.0
Baseline CPFA,powerlaw,30,274625,73.0
Baseline CPFA,powerlaw,31,798435,65.0
Baseline CPFA,powerlaw,32,78781,133.0
Baseline CPFA,powerlaw,33,724267,145.0
Baseline CPFA,powerlaw,34,806443,143.0
Baseline CPFA,powerlaw,35,850296,153.0
Baseline CPFA,powerlaw,36,861133,156.0
Baseline CPFA,powerlaw,37,211898,156.0
Baseline CPFA,powerlaw,38,152433,138.0
Baseline CPFA,powerlaw,39,791094,54.0
Baseline CPFA,powerlaw,40,139700,135.0
Baseline CPFA,powerlaw,41,802090,153.0
Baseline CPFA,powerlaw,42,390019,145.0
Baseline CPFA,powerlaw,43,858661,134.0
Baseline CPFA,powerlaw,44,848551,145.0
Baseline CPFA,powerlaw,45,800754,147.0
Baseline CPFA,powerlaw,46,490869,155.0
Baseline CPFA,powerlaw,47,13905,140.0
Baseline CPFA,powerlaw,48,414586,140.0
Baseline CPFA,powerlaw,49,812087,152.0
Baseline CPFA,powerlaw,50,275900,152.0
Decentralized CPFA,random,1,724139,140.0
Decentralized CPFA,random,2,731070,161.0
Decentralized CPFA,random,3,521399,135.0
Decentralized CPFA,random,4,714694,146.0
Decentralized CPFA,random,5,369100,132.0
Decentralized CPFA,random,6,489019,135.0
Decentralized CPFA,random,7,558148,152.0
Decentralized CPFA,random,8,465639,142.0
Decentralized CPFA,random,9,919725,141.0
Decentralized CPFA,random,10,48657,137.0
Decentralized CPFA,random,11,824467,147.0
Decentralized CPFA,random,12,731906,146.0
Decentralized CPFA,random,13,233780,124.0
Decentralized CPFA,random,14,339313,132.0
Decentralized CPFA,random,15,916852,152.0
Decentralized CPFA,random,16,854435,150.0
Decentralized CPFA,random,17,541640,158.0
Decentralized CPFA,random,18,813707,126.0
Decentralized CPFA,random,19,608830,140.0
Decentralized CPFA,random,20,600617,148.0
Decentralized CPFA,random,21,940681,164.0
Decentralized CPFA,random,22,362216,156.0
Decentralized CPFA,random,23,810743,144.0
Decentralized CPFA,random,24,396896,123.0
Decentralized CPFA,random,25,640775,139.0
Decentralized CPFA,random,26,428433,147.0
Decentralized CPFA,random,27,357190,157.0
Decentralized CPFA,random,28,764763,167.0
Decentralized CPFA,random,29,94323,132.0
Decentralized CPFA,random,30,742980,146.0
Decentralized CPFA,random,31,948771,141.0
Decentralized CPFA,random,32,944577,144.0
Decentralized CPFA,random,33,793226,146.0
Decentralized CPFA,random,34,444732,156.0
Decentralized CPFA,random,35,157832,162.0
Decentralized CPFA,random,36,268927,133.0
Decentralized CPFA,random,37,694543,167.0
Decentralized CPFA,random,38,274971,127.0
Decentralized CPFA,random,39,580853,120.0
Decentralized CPFA,random,40,266163,161.0
Decentralized CPFA,random,41,956977,142.0
Decentralized CPFA,random,42,406525,155.0
Decentralized CPFA,random,43,420505,157.0
Decentralized CPFA,random,44,311999,166.0
Decentralized CPFA,random,45,116709,141.0
Decentralized CPFA,random,46,547818,162.0
Decentralized CPFA,random,47,662869,145.0
Decentralized CPFA,random,48,974648,154.0
Decentralized CPFA,random,49,40738,133.0
Decentralized CPFA,random,50,143101,137.0
Decentralized CPFA,clustered,1,611545,84.0
Decentralized CPFA,clustered,2,736374,91.0
Decentralized CPFA,clustered,3,18825,80.0
Decentralized CPFA,clustered,4,931779,97.0
Decentralized CPFA,clustered,5,397514,90.0
Decentralized CPFA,clustered,6,398292,98.0
Decentralized CPFA,clustered,7,778891,84.0
Decentralized CPFA,clustered,8,800234,104.0
Decentralized CPFA,clustered,9,908910,79.0
Decentralized CPFA,clustered,10,305592,77.0
Decentralized CPFA,clustered,11,508303,89.0
Decentralized CPFA,clustered,12,61261,84.0
Decentralized CPFA,clustered,13,712517,83.0
Decentralized CPFA,clustered,14,422142,91.0
Decentralized CPFA,clustered,15,619025,86.0
Decentralized CPFA,clustered,16,660132,86.0
Decentralized CPFA,clustered,17,658840,86.0
Decentralized CPFA,clustered,18,413666,69.0
Decentralized CPFA,clustered,19,67028,82.0
Decentralized CPFA,clustered,20,828258,77.0
Decentralized CPFA,clustered,21,551983,109.0
Decentralized CPFA,clustered,22,482580,95.0
Decentralized CPFA,clustered,23,909019,89.0
Decentralized CPFA,clustered,24,670795,86.0
Decentralized CPFA,clustered,25,376826,78.0
Decentralized CPFA,clustered,26,261094,74.0
Decentralized CPFA,clustered,27,694819,96.0
Decentralized CPFA,clustered,28,441165,99.0
